"rooms";"separate_rooms";"area";"sity";"street";"house";"floor";"max_floor";"house_type";"total_square";"live_square";"kitchen_square";"year";"repare_year";"balcony";"total_price";"price"
"к";"2";"Пер";"Минск";"Независимости просп.";"137-1";"3";"9";"п";"48,5";"16,9";"7";"1971";"";"л";"55374";"3278"
"к";"4";"";"Лужки";"Центральная ул.";"39";"2";"2";"п";"120";"64";"9,9";"1986";"";"-";"55588";"868"
"к";"2";"Пер";"Минск";"Седых ул.";"14";"5";"5";"п";"49,8";"17,3";"6,1";"1967";"2019";"-";"55588";"3213"
"к";"3";"Цен";"Минск";"Заславская ул.";"25";"4";"9";"п";"64";"16";"8,7";"1984";"";"";"55588";"3474"
"к";"2";"Лен";"Минск";"Козыревская ул.";"20";"5";"9";"п";"60,4";"17,7";"8,9";"2000";"";"";"56657";"3201"
"к";"2";"Пар";"Минск";"Захарова ул.";"69";"5";"5";"к";"48,2";"17,7";"6,5";"1968";"";"-";"57726";"3260"
"к";"3";"Пер";"Минск";"Пономарева ул.";"9";"4";"4";"к";"69,3";"22,5";"6,1";"1953";"";"-";"57726";"2566"
"к";"3";"Фр";"Минск";"Налибокская ул.";"46";"2";"9";"п";"76,4";"17,2";"10,2";"2012";"";"";"57726";"3357"
"к";"2";"Цен";"Минск";"Каховская ул.";"51";"5";"5";"п";"42";"17,2";"5,7";"1962";"2012";"б";"58795";"3421"
"к";"3";"Фр";"Минск";"Чичурина ул.";"6";"9";"9";"п";"71,8";"17,9";"11,5";"2011";"";"л";"59223";"3307"
"к";"4";"Моск";"Брест";"Октябрьской революции ул.";"";"2";"9";"п";"81,1";"52,8";"9,2";"1991";"";"3л";"59436";"1127"
"к";"3";"Фр";"Минск";"Бельского ул.";"61";"4";"9";"п";"71,9";"18";"9,3";"1979";"";"бз";"59650";"3314"
"к";"3";"";"Гатово";"Металлургическая ул.";"15";"1в";"9";"п";"67,2";"32,2";"7,3";"1989";"";"лз";"59864";"1860"
"к";"3";"Лен";"Минск";"Прушинских ул.";"30";"3";"9";"п";"78";"17,9";"12,6";"";"";"лз";"59864";"3344"
"к";"2";"Фр";"Минск";"Глебки ул.";"48";"5";"9";"п";"49,3";"17,1";"7,2";"1975";"2019";"л";"59864";"3500"
"к";"2";"Фр";"Минск";"Лынькова ул.";"87-1";"5";"9";"б";"58,1";"23,8";"9";"2000";"";"2лзв";"59864";"2514"
"к";"2";"Зав";"Минск";"Ташкентская ул.";"22-4";"5";"5";"к";"48,8";"17,6";"6,6";"1967";"";"";"61788";"3513"
"к";"4";"Фр";"Минск";"Притыцкого ул.";"138";"7";"12";"п";"77,3";"21,8";"8,9";"1989";"";"лз";"61788";"2835"
"к";"6";"Пер";"Минск";"Козлова ул.";"31";"2";"5";"п";"105";"21,7";"10,5";"1961";"2008";"-";"62002";"2856"
"к";"2";"Мос";"Минск";"Космонавтов ул.";"13-1";"8";"12";"п";"50,5";"14,7";"8,9";"1987";"";"лз";"62430";"4246"
"к";"2";"Пер";"Минск";"Независимости просп.";"145";"9т";"9";"п";"46,7";"17,1";"7,2";"1973";"2015";"лзв";"63071";"3688"
"к";"3";"Сов";"Минск";"Гамарника ул.";"9-2";"2";"9";"к";"63";"32";"10,8";"1971";"";"бз";"63071";"1971"
"к";"2";"Мос";"Минск";"Уманская 1-я ул.";"25";"1";"1";"п";"51,7";"32,5";"11,7";"1971";"";"-";"63926";"1967"
"к";"3";"Зав";"Минск";"Герасименко ул.";"52-2";"5";"9";"п";"62,3";"31";"8,3";"1985";"";"л";"64140";"2070"
"к";"2";"Мос";"Минск";"Рафиева ул.";"54";"5";"25";"кб";"52,8";"15";"12,1";"2013";"";"лз";"64140";"4276"
"к";"3";"Сов";"Минск";"Восточная ул.";"36";"2";"6";"п";"58,4";"46,8";"6";"1964";"2007";"";"64140";"1370"
"к";"2";"Фр";"Минск";"Пушкина просп.";"85";"6";"9";"п";"49,7";"24,9";"8,3";"1974";"";"лзв";"64140";"2581"
"к";"2";"Фр";"Минск";"Пушкина просп.";"52";"2";"9";"п";"54,6";"17";"—";"1972";"";"-";"64140";"3778"
"к";"3";"Окт";"Минск";"Кижеватова ул.";"64";"2";"9";"п";"64";"26";"7";"1977";"";"лз";"65209";"2508"
"к";"6";"Пер";"Минск";"Козлова ул.";"31";"4";"5";"к";"106";"24";"11,2";"1961";"2008";"бз";"66278";"2762"
"к";"3";"Пер";"Минск";"Независимости просп.";"153-1";"1в";"5";"п";"61,3";"17,2";"6,2";"1969";"";"";"66278";"3853"
"к";"4";"Зав";"Минск";"Голодеда ул.";"9";"1";"5";"п";"58,3";"34,1";"6,2";"1969";"";"лз";"68416";"2010"
"к";"4";"Окт";"Минск";"Московская ул.";"13";"5";"5";"к";"103";"22,6";"11,5";"1953";"";"б";"69485";"3081"
"к";"3";"Зав";"Минск";"Ташкентская ул.";"22-1";"3";"5";"к";"55";"23,6";"7,4";"1968";"";"бз";"70554";"2989"
"к";"3";"Зав";"Минск";"Уборевича ул.";"160";"2";"5";"п";"61";"28,4";"6,2";"1967";"";"";"70554";"2484"
"к";"5";"Цен";"Минск";"Хоружей ул.";"42";"5";"5";"к";"85,3";"23,2";"9,8";"1961";"2019";"б";"70554";"3047"
"к";"3";"Зав";"Минск";"Народная ул.";"23-1";"1в";"5";"п";"58,1";"39";"5,9";"1961";"";"-";"73120";"1873"
"к";"3";"Зав";"Минск";"Ангарская ул.";"15-1";"5";"5";"к";"54,6";"24";"7,5";"1969";"2009";"б";"74830";"3117"
"к";"3";"Лен";"Минск";"Рокоссовского просп.";"49";"6";"9";"п";"72,1";"34,1";"7,1";"1976";"";"2лз";"74830";"2194"
"к";"2";"Мос";"Минск";"Правда газеты просп.";"14";"4";"9";"п";"49,7";"17";"7,1";"1978";"";"лз";"74830";"4391"
"к";"3";"Лен";"Минск";"Горовца ул.";"20-1";"2";"12";"п";"72,6";"25,8";"8,9";"1980";"";"лз";"76968";"2983"
"к";"3";"Пер";"Минск";"Калиновского ул.";"35";"3";"5";"п";"56,5";"31,1";"6,8";"1963";"";"бз";"76968";"2476"
"к";"3";"Зав";"Минск";"Герасименко ул.";"20";"3";"9";"п";"62,9";"30,8";"7";"1983";"";"лз";"79106";"2568"
"к";"3";"Фр";"Минск";"Дунина-Марцинкевича ул.";"6";"5";"9";"п";"63,4";"30,5";"8,6";"1976";"2018";"2лз";"79106";"2593"
"к";"3";"";"Заславль";"Советская ул.";"53";"3";"3";"к";"67,9";"32,8";"7";"";"";"б";"81244";"2478"
"к";"3";"Зав";"Минск";"Центральная ул.";"3";"4";"4";"к";"73,5";"31,2";"9";"1936";"";"-";"81244";"2604"
"к";"4";"Фр";"Минск";"Дунина-Марцинкевича ул.";"6-2";"9";"12";"к";"79,8";"48,7";"8,5";"1988";"";"лз";"82954";"1704"
"к";"2";"Цен";"Минск";"Орловская ул.";"19";"4";"5";"п";"46";"34,5";"5,7";"1962";"2010";"б";"83168";"2412"
"к";"4";"Мос";"Минск";"Космонавтов ул.";"7-2";"7т";"12";"п";"77,4";"24,8";"9";"1988";"";"-";"83382";"3363"
"к";"3";"";"Лесной";"33-а";"";"7";"9";"п";"84";"27";"13,4";"2011";"";"2лз";"85520";"3166"
"к";"2";"Мос";"Минск";"Голубева ул.";"7";"6";"9";"п";"63,4";"26,5";"7,1";"1980";"";"-";"85520";"3226"
"к";"4";"Мос";"Минск";"Слободская ул.";"117";"1в";"9";"п";"86,9";"39,9";"7,1";"1996";"";"2л";"85520";"2144"
"к";"4";"Сов";"Минск";"Восточная ул.";"38";"8";"9";"к";"75,5";"54,6";"7,1";"1969";"";"2л";"85520";"1567"
"к";"3";"Цен";"Минск";"Немига ул.";"6";"10";"11";"к";"78";"45";"9";"1982";"";"лз";"85520";"1901"
"к";"4";"Фр";"Минск";"Мавра ул.";"16-1";"1";"5";"п";"70,5";"35,7";"7,5";"1973";"";"лз";"86589";"2424"
"к";"2";"Мос";"Минск";"Люксембург ул.";"178";"3";"9";"к";"50,7";"34";"8";"1969";"2010";"-";"88727";"2610"
"к";"2";"";"Большой Тростенец";"Совхозная ул.";"4";"1";"1";"бр";"59,9";"34,2";"20,3";"";"";"-";"89796";"2625"
"к";"3";"Пар";"Минск";"Менделеева ул.";"23";"7";"9";"п";"67,5";"29";"7";"1977";"";"лз";"89796";"3096"
"к";"2";"Фр";"Минск";"Пушкина просп.";"29";"3";"9";"п";"56";"35";"10";"1972";"2018";"лз";"89796";"2566"
"к";"3";"Окт";"Минск";"Воронянского ул.";"52";"2";"9";"п";"60,3";"29";"7,1";"1973";"";"-";"90865";"3139"
"к";"3";"Лен";"Минск";"Сырокомли ул.";"12";"4";"10";"сб";"83,7";"33,1";"10";"2009";"";"";"96210";"2908"
